Year,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2021,2,두산,144,71,65,8,0.522,5.5,5승2무3패,2승,35-6-31,36-2-34
2021,3,삼성,144,76,59,9,0.563,0,6승1무3패,1승,42-4-26,34-5-33
2021,4,LG,144,72,58,14,0.554,1.5,3승5무2패,1패,40-3-29,32-11-29
2021,5,키움,144,70,67,7,0.511,7,6승1무3패,3승,42-4-26,28-3-41
2021,6,SSG,144,66,64,14,0.508,7.5,4승2무4패,1패,37-8-27,29-6-37
2021,7,NC,144,67,68,9,0.496,9,4승1무5패,1패,36-2-34,31-7-34
2021,8,롯데,144,65,71,8,0.478,11.5,4승2무4패,1승,31-5-36,34-3-35
2021,9,KIA,144,58,76,10,0.433,17.5,5승0무5패,2패,31-4-37,27-6-39
2021,10,한화,144,49,83,12,0.371,25.5,2승2무6패,6패,25-7-40,24-5-43
2022,1,SSG,144,88,52,4,0.629,0,4승0무6패,4패,49-0-23,39-4-29
2022,2,키움,144,80,62,2,0.563,9,5승0무5패,1승,39-1-32,41-1-30
2022,3,LG,144,87,55,2,0.613,2,4승0무6패,1승,38-1-33,49-1-22
2022,4,KT,144,80,62,2,0.563,9,7승0무3패,1패,40-1-31,40-1-31
2022,5,KIA,144,70,73,1,0.490,19.5,7승0무3패,1패,31-0-41,39-1-32
2022,6,NC,144,67,74,3,0.475,21.5,6승0무4패,1패,35-3-34,32-0-40
2022,7,삼성,144,66,76,2,0.465,23,6승0무4패,2승,33-2-37,33-0-39
2022,8,롯데,144,64,76,4,0.457,24,5승0무5패,1승,27-3-42,37-1-34
2022,9,두산,144,60,82,2,0.423,29,4승0무6패,2패,29-1-42,31-1-40
2022,10,한화,144,46,96,2,0.324,43,3승0무7패,1패,28-0-44,18-2-52
2023,1,LG,144,86,56,2,0.606,0,5승0무5패,1승,45-1-25,41-1-31
2023,2,KT,144,79,62,3,0.560,6.5,6승0무4패,3승,41-2-30,38-1-32
2023,3,SSG,144,76,65,3,0.539,9.5,8승0무2패,2승,39-2-32,37-1-33
2023,4,NC,144,75,67,2,0.528,11,5승0무5패,2패,41-1-29,34-1-38
2023,5,두산,144,74,68,2,0.521,12,4승0무6패,3패,37-1-35,37-1-33
2023,6,KIA,144,73,69,2,0.514,13,7승0무3패,2승,38-2-31,35-0-38
2023,7,롯데,144,68,76,0,0.472,19,4승0무6패,1승,38-0-35,30-0-41
2023,8,삼성,144,61,82,1,0.427,25.5,4승0무6패,1패,32-0-39,29-1-43
2023,9,한화,144,58,80,6,0.420,26,3승0무7패,1패,32-1-40,26-5-40
2023,10,키움,144,58,83,3,0.411,27.5,5승0무5패,2패,33-2-36,25-1-47
2024,1,KIA,112,64,46,2,0.582,0,4승0무6패,1패,28-1-26,36-1-20
2024,2,LG,110,59,49,2,0.546,4,5승0무5패,1패,30-1-21,29-1-28
2024,3,삼성,113,60,51,2,0.541,4.5,7승0무3패,3승,33-0-25,27-2-26
2024,4,두산,115,58,55,2,0.513,7.5,5승0무5패,2패,32-1-26,26-1-29
2024,5,SSG,111,55,55,1,0.500,9,4승0무6패,2승,28-1-26,27-0-29
2024,6,KT,112,53,57,2,0.482,11,4승0무6패,4패,24-1-27,29-1-30
2024,7,롯데,106,48,55,3,0.466,12.5,7승0무3패,3승,28-2-21,20-1-34
2024,8,NC,108,49,57,2,0.462,13,2승0무8패,6패,27-0-23,22-2-34
2024,9,한화,109,49,58,2,0.458,13.5,5승0무5패,1승,26-2-31,23-0-27
2024,10,키움,110,49,61,0,0.445,15,6승0무4패,1승,28-0-34,21-0-27
